Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-login-book,Chrome 115.0.0.0,,,2023-07-31 04:49:07,2023-07-31 04:49:47,40.196s,PASSED
,,,,,,,
Test Cases/Reuse TC/RTC-01 login,Chrome 115.0.0.0,,,2023-07-31 04:49:07,2023-07-31 04:49:33,25.944s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-31 04:49:08,2023-07-31 04:49:11,2.847s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-07-31 04:49:11,2023-07-31 04:49:17,6.118s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-07-31 04:49:17,2023-07-31 04:49:17,0.192s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/BtnMakeAppointment""))",Chrome 115.0.0.0,,,2023-07-31 04:49:17,2023-07-31 04:49:19,2.243s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/txtUsername""), NAME)",Chrome 115.0.0.0,,,2023-07-31 04:49:19,2023-07-31 04:49:22,2.919s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/txtPassword""), PASS)",Chrome 115.0.0.0,,,2023-07-31 04:49:22,2023-07-31 04:49:25,2.588s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/btnLogin""))",Chrome 115.0.0.0,,,2023-07-31 04:49:25,2023-07-31 04:49:33,8.547s,PASSED
,,,,,,,
Test Cases/Reuse TC/RTC- 03 book,Chrome 115.0.0.0,,,2023-07-31 04:49:33,2023-07-31 04:49:47,13.857s,PASSED
"selectOptionByIndex(findTestObject(""Page_CURA Healthcare Service/cbCURAHealthcareCenter""), 0)",Chrome 115.0.0.0,,,2023-07-31 04:49:34,2023-07-31 04:49:35,1.184s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/cbApply for hospital readmission""))",Chrome 115.0.0.0,,,2023-07-31 04:49:35,2023-07-31 04:49:37,1.533s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/cbMedicaid_programs""))",Chrome 115.0.0.0,,,2023-07-31 04:49:37,2023-07-31 04:49:38,1.509s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/txtVisit Date""), ""07/07/2023"")",Chrome 115.0.0.0,,,2023-07-31 04:49:38,2023-07-31 04:49:41,3.047s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/text_Comment""), comment)",Chrome 115.0.0.0,,,2023-07-31 04:49:41,2023-07-31 04:49:44,3.012s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/btnBook Appointment""))",Chrome 115.0.0.0,,,2023-07-31 04:49:44,2023-07-31 04:49:47,3.083s,PASSED
