Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
TS-login-book-logout,Chrome 115.0.0.0,,,2023-07-31 04:58:46,2023-07-31 05:00:01,1m - 14.816s,PASSED
,,,,,,,
Test Cases/Reuse TC/RTC-01 login,Chrome 115.0.0.0,,,2023-07-31 04:58:47,2023-07-31 04:59:20,32.957s,PASSED
"openBrowser("""")",Chrome 115.0.0.0,,,2023-07-31 04:58:47,2023-07-31 04:58:50,2.757s,PASSED
navigateToUrl(URL),Chrome 115.0.0.0,,,2023-07-31 04:58:50,2023-07-31 04:58:56,6.216s,PASSED
maximizeWindow(),Chrome 115.0.0.0,,,2023-07-31 04:58:56,2023-07-31 04:58:56,0.280s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/BtnMakeAppointment""))",Chrome 115.0.0.0,,,2023-07-31 04:58:56,2023-07-31 04:58:59,2.289s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/txtUsername""), NAME)",Chrome 115.0.0.0,,,2023-07-31 04:58:59,2023-07-31 04:59:05,6.240s,PASSED
"setEncryptedText(findTestObject(""Page_CURA Healthcare Service/txtPassword""), PASS)",Chrome 115.0.0.0,,,2023-07-31 04:59:05,2023-07-31 04:59:09,4.067s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/btnLogin""))",Chrome 115.0.0.0,,,2023-07-31 04:59:09,2023-07-31 04:59:20,10.612s,PASSED
,,,,,,,
Test Cases/Reuse TC/RTC- 03 book,Chrome 115.0.0.0,,,2023-07-31 04:59:20,2023-07-31 04:59:52,32.818s,PASSED
"selectOptionByIndex(findTestObject(""Page_CURA Healthcare Service/cbCURAHealthcareCenter""), 0)",Chrome 115.0.0.0,,,2023-07-31 04:59:20,2023-07-31 04:59:26,5.882s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/cbApply for hospital readmission""))",Chrome 115.0.0.0,,,2023-07-31 04:59:26,2023-07-31 04:59:29,3.056s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/cbMedicaid_programs""))",Chrome 115.0.0.0,,,2023-07-31 04:59:29,2023-07-31 04:59:32,2.997s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/txtVisit Date""), ""07/07/2023"")",Chrome 115.0.0.0,,,2023-07-31 04:59:32,2023-07-31 04:59:38,6.046s,PASSED
"setText(findTestObject(""Page_CURA Healthcare Service/text_Comment""), comment)",Chrome 115.0.0.0,,,2023-07-31 04:59:38,2023-07-31 04:59:44,5.947s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/btnBook Appointment""))",Chrome 115.0.0.0,,,2023-07-31 04:59:44,2023-07-31 04:59:49,5.231s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/btnGo to Homepage""))",Chrome 115.0.0.0,,,2023-07-31 04:59:49,2023-07-31 04:59:52,3.283s,PASSED
,,,,,,,
Test Cases/Reuse TC/RTC-02 logout,Chrome 115.0.0.0,,,2023-07-31 04:59:52,2023-07-31 05:00:01,8.673s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/idCURA Healthcare_menu-toggle""))",Chrome 115.0.0.0,,,2023-07-31 04:59:53,2023-07-31 04:59:56,3.030s,PASSED
"click(findTestObject(""Page_CURA Healthcare Service/btnLogout""))",Chrome 115.0.0.0,,,2023-07-31 04:59:56,2023-07-31 05:00:00,4.463s,PASSED
closeBrowser(),Chrome 115.0.0.0,,,2023-07-31 05:00:00,2023-07-31 05:00:01,0.708s,PASSED
